"","date","0","1","2","3"
"1",2018-06-30,-0.117236923674622,-0.0384333068397053,0.0805531608078359,0.0812103567912607
"2",2018-09-30,0.117403023094372,0.0430113082858169,0.0781391984578774,0.0751320745059832
"3",2018-12-31,0.10933047705394,-0.201599873196908,0.067813624275088,0.0724455181703471
"4",2019-03-31,0.27731042733236,-0.237966188666585,0.0672732187281228,0.0725230157268075
"5",2019-06-30,-0.159146338501845,-0.0367101840292896,0.0632015945546865,0.0686926546397268
"6",2019-09-30,-0.0190374174199597,0.016985183456375,0.060688975511315,0.0582196597113823
"7",2019-12-31,0.100792633996516,-0.171124699535822,0.0528552468723522,0.0537010377509489
"8",2020-03-31,-0.065143808830957,-0.434755899473572,-0.181984140881371,0.017825851112289
"9",2020-06-30,0.0235015922709957,-0.136040566641315,0.0477391166065053,0.0390727534968861
"10",2020-09-30,-0.206258770006783,-0.0744385780387054,0.0345836203231834,0.0371612434876504
"11",2020-12-31,-0.0352630353319456,-0.145881949528668,0.0273897907796244,0.0357890103622852
"12",2021-03-31,0.0734731405089024,-0.323429788326063,0.0288616510206421,0.0408715055896463
"13",2021-06-30,-0.22075415354331,-0.0323115651279189,0.0443343999111046,0.0439597967666612
"14",2021-09-30,-0.183845957616146,0.0235898990821973,0.0358886424276481,0.0323240318032135
"15",2021-12-31,0.204111922441272,0.128356006650029,0.0309553629104977,0.0320034980942749
"16",2022-03-31,0.0549976987690137,-0.393456183101451,0.0258279238318272,0.0323764195848708
"17",2022-06-30,-0.492635692025917,-0.0936717377012001,0.0224919543186197,0.0227100714180751
"18",2022-09-30,-0.308133209231885,0.145093639679935,0.0238182310636504,0.0167719789461992
"19",2022-12-31,-0.00321604816810129,-0.0783091341543035,0.00671136279675242,0.0088868915332825
"20",2023-03-31,0.296364525945235,-0.0211818835274818,0.0182660393133332,0.0123427078668104
"21",2023-06-30,-0.314968189290282,-0.0882459488162937,0.00307236550769317,0.00467931508067855
"22",2023-09-30,-0.207782475320964,0.0722937893607542,0.000358534450604522,-0.00468372563155983
"23",2023-12-31,-0.0557575552951239,-0.165744331857121,-0.0127689344260187,-0.0114125408688021
